period,code,name
after_2007,212A02,Aqüífer al·luvial de l'Algars
after_2007,307A11,Aqüífer al·luvial de l'Anoia
after_2007,212A01,Aqüífer al·luvial de l'Ebre-Terra Alta
after_2007,311A11,Aqüífer al·luvial de l'Ebre-depressió de Móra
after_2007,302A12,Aqüífer al·luvial de l'Onyar
after_2007,210A02,Aqüífer al·luvial de l'alt Corb
after_2007,210A01,Aqüífer al·luvial de l'alt Ondara i l'Altet
after_2007,403A11,Aqüífer al·luvial de l'alta Tordera
after_2007,403A12,Aqüífer al·luvial de la Tordera mitjana
after_2007,206A02,Aqüífer al·luvial de la baixa Ribagorçana
after_2007,405A11,Aqüífer al·luvial de la cubeta d'Abrera
after_2007,301A14,Aqüífer al·luvial de la cubeta de Bescanó/sector la Cellera-Bescanó
after_2007,302A13,Aqüífer al·luvial de la cubeta de Bescanó/sector pla de Salt-Girona
after_2007,201A11,Aqüífer al·luvial de la cubeta de Celrà
after_2007,405A12,Aqüífer al·luvial de la cubeta de Sant Andreu
after_2007,304A11,Aqüífer al·luvial de la cubeta de la Llagosta
after_2007,301A13,Aqüífer al·luvial de la riera Major
after_2007,301A11,Aqüífer al·luvial de la riera d'Arbúcies
after_2007,301A12,Aqüífer al·luvial de la riera de Breda
after_2007,114A14,Aqüífer al·luvial de la riera de Cadaqués
after_2007,304A13,Aqüífer al·luvial de la riera de Caldes
after_2007,114A13,Aqüífer al·luvial de la riera de Colera i Garbet
after_2007,114A11,Aqüífer al·luvial de la riera de Llançà
after_2007,114A12,Aqüífer al·luvial de la riera de Port de la Selva
after_2007,302A11,Aqüífer al·luvial de la riera de Santa Coloma
after_2007,406A11,Aqüífer al·luvial de la vall baixa de l'Ebre
after_2007,405A13,Aqüífer al·luvial de la vall baixa del Llobregat
after_2007,304A15,Aqüífer al·luvial del Congost
after_2007,201A12,"Aqüífer al·luvial del Fluvià, sector Esponellà/Sant Miquel"
after_2007,202A11,Aqüífer al·luvial del Fluvià/sector Castellfollit-Esponellà
after_2007,309A13,Aqüífer al·luvial del Francolí (Alt Camp)
after_2007,309A12,Aqüífer al·luvial del Francolí (Baix Camp)
after_2007,309A11,Aqüífer al·luvial del Francolí (Tarragona)
after_2007,204A01,Aqüífer al·luvial del Llobregat i Cardener (Llobregat-Congost)
after_2007,209A11,Aqüífer al·luvial del Llobregat i Cardener-Artés
after_2007,206A04,Aqüífer al·luvial del Llobregós
after_2007,304A16,Aqüífer al·luvial del Mogent
after_2007,304A12,Aqüífer al·luvial del Ripoll
after_2007,202A12,Aqüífer al·luvial del Ritort
after_2007,205A01,Aqüífer al·luvial del Segre mig
after_2007,111A01,Aqüífer al·luvial del Segre-Cerdanya
after_2007,206A03,Aqüífer al·luvial del Sió
after_2007,304A14,Aqüífer al·luvial del Tenes
after_2007,203A11,Aqüífer al·luvial del Ter i el Ges
after_2007,206A01,Aqüífer al·luvial del baix Segre
after_2007,303A21,Aqüífer al·luvial profund de la riera d'Aubí
after_2007,303A22,Aqüífer al·luvial profund de la riera de Calonge
after_2007,303A23,Aqüífer al·luvial profund de la riera de Ridaura
after_2007,303A24,Aqüífer al·luvial profund de la riera de Tossa
after_2007,303A11,Aqüífer al·luvial superficial  de la riera d'Aubí
after_2007,303A12,Aqüífer al·luvial superficial de la riera de Calonge
after_2007,303A13,Aqüífer al·luvial superficial de la riera de Ridaura
after_2007,302I11,Aqüífer basàltic de Maçanet de la Selva-Vidreres
after_2007,202C22,Aqüífer càrstic de la cubeta lacustre Banyoles-Besalú
after_2007,307D21,Aqüífer de les calcarenites neògenes del Penedès
after_2007,203C22,Aqüífer de les calcàries de Tavertet
after_2007,210D11,Aqüífer de les calcàries de Tàrrega
after_2007,112C52,Aqüífer de les calcàries devonianes del Moixeró (Llobregat)
after_2007,102C51,Aqüífer de les calcàries i detrítics devonianes de la Vall d'Aran
after_2007,310C01,Aqüífer de les calcàries i detrítics mesozoiques de Prades (Francolí i Riudoms)
after_2007,310C03,Aqüífer de les calcàries i detrítics mesozoiques de Prades (Montsant)
after_2007,310C02,Aqüífer de les calcàries i detrítics mesozoiques de la Llaberia-Vandellós
after_2007,117C31,Aqüífer de les calcàries i margues juràssico-cretàciques del Montsec-conca de Tremp
after_2007,308C32,Aqüífer de les calcàries juràssico-cretàciques del Garraf
after_2007,312C31,Aqüífer de les calcàries mesozoiques de Cardó-Vandellòs
after_2007,308C31,Aqüífer de les calcàries mesozoiques de Montmell
after_2007,310C04,Aqüífer de les calcàries mesozoiques de la depressió de Móra
after_2007,313C33,Aqüífer de les calcàries mesozoiques de la plana de la Galera
after_2007,313C31,Aqüífer de les calcàries mesozoiques del Montsià
after_2007,313C32,Aqüífer de les calcàries mesozoiques dels ports de Tortosa
after_2007,118C01,Aqüífer de les calcàries mesozoiques i paleògenes de les serres exteriors
after_2007,201C21,Aqüífer de les calcàries paleògenes de Torrent
after_2007,202C21,Aqüífer de les calcàries paleògenes de la formació Girona
after_2007,306C01,Aqüífer de les calcàries paleògenes i mesozoiques de Carme-Capellades (Anoia)
after_2007,306C03,Aqüífer de les calcàries paleògenes i mesozoiques de Carme-Capellades (Foix)
after_2007,306C02,Aqüífer de les calcàries paleògenes i mesozoiques de l'alt Gaià
after_2007,308C41,Aqüífer de les calcàries triàsiques del Garraf
after_2007,204C41,Aqüífer de les calcàries triàsiques del Llobregat-Congost
after_2007,116C01,"Aqüífer de les calcàries, conglomerats i margues mesozoiques i paleògenes del Pedraforca-Llobregat"
after_2007,116C02,"Aqüífer de les calcàries, conglomerats i margues mesozoiques i paleògenes del Pedraforca-Segre"
after_2007,112C53,"Aqüífer de les calcàries, gresos i pissarres devonianes del Baridà i Moixeró-serra Cavallera"
after_2007,107C51,"Aqüífer de les calcàries, gresos i pissarres paleozoiques de Boí-Vall Fosca"
after_2007,115C04,"Aqüífer de les calcàries, margues i conglomerats mesozoiques i paleògenes del Cadí-alt Fluvià"
after_2007,115C05,"Aqüífer de les calcàries, margues i gresos mesozoiques i paleògenes del Cadí-alta Muga"
after_2007,203F21,Aqüífer de les margues i llims de la plana de Vic
after_2007,115C02,"Aqüífer de les margues, gresos i calcàries mesozoiques i paleògenes del Cadí-Segre"
after_2007,115C03,"Aqüífer de les margues, gresos i calcàries mesozoiques i paleògenes del Cadí-alt Ter"
after_2007,307I02,Aqüífer de les sorres de Santa Oliva
after_2007,304I01,Aqüífer del ventall al·luvial de Terrassa
after_2007,202I01,Aqüífer dels conglomerats pleistocens del Fluvià
after_2007,115C01,"Aqüífer dels conglomerats, margues i  calcàries mesozoiques i paleògenes del Cadí-Llobregat"
after_2007,117B41,Aqüífer dels gresos d'Areny
after_2007,203B31,Aqüífer dels gresos de Folgueroles
after_2007,203C21,Aqüífer dels gresos i calcàries de Sant Bartomeu-Tona
after_2007,201I01,Aqüífer dels travertins de Banyoles i al·luvials del Terri
after_2007,117C11,Aqüífer dels travertins de l'estany de Basturs
after_2007,304I02,Aqüífer detrític miocè del Vallès
after_2007,308I01,Aqüífer detrític mioquaternari del Garraf
after_2007,307I01,Aqüífer detrític mioquaternari del Penedès
after_2007,201I02,Aqüífer detrític neogen de l'Empordà
after_2007,302I01,Aqüífer detrític neogen de la Selva
after_2007,111I01,Aqüífer detrític neogen i quaternari de la Cerdanya
after_2007,106I01,Aqüífer detrític neogen i quaternari de la cubeta de la Seu d'Urgell
after_2007,312I02,Aqüífer detrític plioquaternari de l'Aldea-Ampolla
after_2007,312I01,Aqüífer detrític plioquaternari de l'Ametlla de Mar
after_2007,311I01,Aqüífer detrític plioquaternari de la depressió de Móra
after_2007,313I01,Aqüífer detrític plioquaternari de la plana de la Galera
after_2007,309I01,Aqüífer detrític plioquaternari del  baix Francolí-Torredembarra
after_2007,313I02,Aqüífer detrític plioquaternari del Montsià
after_2007,309I02,Aqüífer detrític plioquaternari del camp de Tarragona-Alt Camp
after_2007,309I03,Aqüífer detrític plioquaternari del camp de Tarragona-Baix Camp
after_2007,307A01,Aqüífer detrític quaternari d'Esparreguera
after_2007,305A01,Aqüífer detrític quaternari del Pla de Barcelona
after_2007,305A03,Aqüífer detrític quaternari entre Caldes d'Estrac i Calella
after_2007,305A04,Aqüífer detrític quaternari entre Calella i Malgrat de Mar
after_2007,305A02,Aqüífer detrític quaternari entre Tiana i Caldes d'Estrac
after_2007,202I14,Aqüífer fluvio-volcànic confinat de la Garrotxa
after_2007,202I12,Aqüífer fluvio-volcànic de la vall del Llémena i Canet d'Adri
after_2007,202I13,Aqüífer fluvio-volcànic lliure de la Garrotxa
after_2007,406A12,Aqüífer fluviodeltaic del delta de l'Ebre
after_2007,403A21,Aqüífer fluviodeltaic profund de la baixa Tordera
after_2007,403A13,Aqüífer fluviodeltaic superficial de la baixa Tordera
after_2007,401A21,Aqüífer profund de la plana al·luvial del Fluvià i la Muga
after_2007,402A21,Aqüífer profund de la plana al·luvial del baix Ter
after_2007,404A21,Aqüífer profund del delta del Besòs
after_2007,405A21,Aqüífer profund del delta del Llobregat
after_2007,401A11,Aqüífer superficial de la plana al·luvial del Fluvià i la Muga
after_2007,402A11,Aqüífer superficial de la plana al·luvial del baix Ter i Daró
after_2007,404A11,Aqüífer superficial del delta del Besòs
after_2007,405A14,Aqüífer superficial del delta del Llobregat
after_2007,205A11,Aqüífers al·luvials del Llobregat i Cardener (Solsona)
after_2007,115A11,Aqüífers al·luvials del Ter i Freser
after_2007,206A05,Aqüífers al·luvials del baix Corb i la Femosa
after_2007,206A06,Aqüífers al·luvials del pla d'Urgell
after_2007,108A01,Aqüífers detrítics quaternaris de la Noguera Pallaresa i afluents
after_2007,117A01,Aqüífers detrítics quaternaris de la conca de Tremp
after_2007,210D12,Aqüífers locals en medis de baixa permeabilitat a les calcàries i gresos de la Conca de Barberà
