period,code,name
after_2007,0,N/D
after_2007,2,REC MADRAL (MUGUETA)
after_2007,3,REC SIRVENT
after_2007,6,EL DARÓ
after_2007,15,EL GAIÀ
after_2007,19,RIERA DE RIUDECANYES
after_2007,25,RIU DE LA SÉNIA
after_2007,30,LA MUGA
after_2007,40,EL FLUVIÀ
after_2007,50,LA TORDERA
after_2007,60,EL BESÒS
after_2007,70,EL FOIX
after_2007,80,EL FRANCOLÍ
after_2007,90,ARRIU GARONA
after_2007,100,EL TER
after_2007,200,EL LLOBREGAT
after_2007,300,EL SEGRE
after_2007,360,LA NOGUERA PALLARESA
after_2007,390,LA NOGUERA RIBAGORÇANA
after_2007,400,L'EBRE
after_2007,500,RIERES DEL CAP DE CREUS
after_2007,600,RIERES DEL MONTGRÍ-EMPÚRIES
after_2007,618,RIERES DEL CAP DE BEGUR-BLANES
after_2007,700,RIERES DEL MARESME
after_2007,774,RIERES DEL PLA DE BARCELONA
after_2007,789,RIERES DEL PLA DEL LLOBREGAT
after_2007,800,RIERES DE GARRAF
after_2007,833,RIERES DE CALAFELL-TORREDEMBARRA
after_2007,852,RIERES DE LA PUNTA DE LA MÓRA
after_2007,900,RIERES DEL BAIX CAMP
after_2007,913,RIERES DE LLABERIA-VANDELLÒS
after_2007,944,RIERES DE CALAFAT-GOLF DE SANT JORDI
after_2007,970,RIERES DE LA SERRA DE MONTSIÀ
before_2007,0,N/D
before_2007,2,REC MADRAL (MUGUETA)
before_2007,3,REC SIRVENT
before_2007,6,EL DARÓ
before_2007,15,EL GAIÀ
before_2007,19,RIERA DE RIUDECANYES
before_2007,25,RIU DE LA SÉNIA
before_2007,30,LA MUGA
before_2007,40,EL FLUVIÀ
before_2007,50,LA TORDERA
before_2007,60,EL BESÒS
before_2007,70,EL FOIX
before_2007,80,EL FRANCOLÍ
before_2007,90,ARRIU GARONA
before_2007,100,EL TER
before_2007,200,EL LLOBREGAT
before_2007,300,EL SEGRE
before_2007,360,LA NOGUERA PALLARESA
before_2007,390,LA NOGUERA RIBAGORÇANA
before_2007,400,L'EBRE
before_2007,500,RIERES DEL CAP DE CREUS
before_2007,600,RIERES DEL MONTGRÍ-EMPÚRIES
before_2007,618,RIERES DEL CAP DE BEGUR-BLANES
before_2007,700,RIERES DEL MARESME
before_2007,774,RIERES DEL PLA DE BARCELONA
before_2007,789,RIERES DEL PLA DEL LLOBREGAT
before_2007,800,RIERES DE GARRAF
before_2007,833,RIERES DE CALAFELL-TORREDEMBARRA
before_2007,852,RIERES DE LA PUNTA DE LA MÓRA
before_2007,900,RIERES DEL BAIX CAMP
before_2007,913,RIERES DE LLABERIA-VANDELLÒS
before_2007,944,RIERES DE CALAFAT-GOLF DE SANT JORDI
before_2007,970,RIERES DE LA SERRA DE MONTSIÀ
