period,code,name
after_2007,1,Alt Camp
after_2007,2,Alt Empordà
after_2007,3,Alt Penedès
after_2007,4,Alt Urgell
after_2007,5,Alta Ribagorça
after_2007,6,Anoia
after_2007,7,Bages
after_2007,8,Baix Camp
after_2007,9,Baix Ebre
after_2007,10,Baix Empordà
after_2007,11,Baix Llobregat
after_2007,12,Baix Penedès
after_2007,13,Barcelonès
after_2007,14,Berguedà
after_2007,15,Cerdanya
after_2007,16,Conca de Barberà
after_2007,17,Garraf
after_2007,18,Garrigues
after_2007,19,Garrotxa
after_2007,20,Gironès
after_2007,43,Lluçanès
after_2007,21,Maresme
after_2007,42,Moianès
after_2007,22,Montsià
after_2007,0,N/D
after_2007,23,Noguera
after_2007,24,Osona
after_2007,25,Pallars Jussà
after_2007,26,Pallars Sobirà
after_2007,27,Pla d'Urgell
after_2007,28,Pla de l'Estany
after_2007,29,Priorat
after_2007,30,Ribera d'Ebre
after_2007,31,Ripollès
after_2007,32,Segarra
after_2007,33,Segrià
after_2007,34,Selva
after_2007,35,Solsonès
after_2007,36,Tarragonès
after_2007,37,Terra Alta
after_2007,38,Urgell
after_2007,39,Val d'Aran
after_2007,40,Vallès Occidental
after_2007,41,Vallès Oriental
before_2007,1,Alt Camp
before_2007,2,Alt Empordà
before_2007,3,Alt Penedès
before_2007,4,Alt Urgell
before_2007,5,Alta Ribagorça
before_2007,6,Anoia
before_2007,7,Bages
before_2007,8,Baix Camp
before_2007,9,Baix Ebre
before_2007,10,Baix Empordà
before_2007,11,Baix Llobregat
before_2007,12,Baix Penedès
before_2007,13,Barcelonès
before_2007,14,Berguedà
before_2007,15,Cerdanya
before_2007,16,Conca de Barberà
before_2007,17,Garraf
before_2007,18,Garrigues
before_2007,19,Garrotxa
before_2007,20,Gironès
before_2007,43,Lluçanès
before_2007,21,Maresme
before_2007,22,Montsià
before_2007,0,N/D
before_2007,23,Noguera
before_2007,24,Osona
before_2007,25,Pallars Jussà
before_2007,26,Pallars Sobirà
before_2007,27,Pla d'Urgell
before_2007,28,Pla de l'Estany
before_2007,29,Priorat
before_2007,30,Ribera d'Ebre
before_2007,31,Ripollès
before_2007,32,Segarra
before_2007,33,Segrià
before_2007,34,Selva
before_2007,35,Solsonès
before_2007,36,Tarragonès
before_2007,37,Terra Alta
before_2007,38,Urgell
before_2007,39,Val d'Aran
before_2007,40,Vallès Occidental
before_2007,41,Vallès Oriental
