period,code,name
after_2007,1068,Port de Barcelona
after_2007,1069,Port de Tarragona
after_2007,23,El Fangar
after_2007,24,Els Alfacs
after_2007,470,Sitges
after_2007,471,Vilanova i la Geltrú
after_2007,472,Cubelles - Altafulla
after_2007,473,Tarragona Nord
after_2007,474,Tarragona - Vila-seca
after_2007,475,Salou - Cambrils
after_2007,476,Cambrils - Mont-roig del Camp
after_2007,477,Vandellós i l'Hospitalet de l'Infant
after_2007,478,L'Ametlla de Mar
after_2007,479,Cap de Salou
after_2007,480,Roses - Castelló d'Empúries
after_2007,481,Sant Pere Pescador - Fluvià
after_2007,482,Sant Adrià de Besòs - Barceloneta
after_2007,483,Llobregat
after_2007,484,Delta Nord
after_2007,485,Delta Sud
after_2007,486,Alcanar
after_2007,487,Torroella de Montgrí - el Ter
after_2007,488,Pals - Sa Riera
after_2007,489,Blanes - Pineda de Mar
after_2007,665,Portbou - Llançà
after_2007,666,Badia de El Port de la Selva
after_2007,667,Cap de Creus
after_2007,668,Badia de Cadaqués
after_2007,669,Cap Norfeu
after_2007,670,L'Escala
after_2007,671,Montgrí
after_2007,672,Begur - Blanes
after_2007,673,Pineda de Mar - Mataró
after_2007,674,Mataró - Montgat
after_2007,675,Montgat - Badalona
after_2007,676,Barceloneta - Zona II Port Barcelona
after_2007,677,El Prat de Llobregat - Castelldefels
after_2007,71,Canyelles
after_2007,170,Sallente
after_2007,171,Cavallers
after_2007,172,Escales
after_2007,173,Gaià
after_2007,174,Santa Fe
after_2007,175,Riudecanyes
after_2007,176,Foix
after_2007,177,Vallforners
after_2007,178,Margalef
after_2007,179,Siurana
after_2007,180,Guiamets
after_2007,181,La Baells
after_2007,182,La Llosa del Cavall
after_2007,183,Sant Ponç
after_2007,184,Boadella
after_2007,185,Oliana
after_2007,186,Talarn
after_2007,187,Terradets
after_2007,188,Camarasa
after_2007,189,Sant Llorenç de Montgai
after_2007,190,Canelles
after_2007,191,Santa Anna
after_2007,192,Riba-roja
after_2007,193,Flix
after_2007,194,Susqueda
after_2007,195,El Pasteral
after_2007,44,Baserca
after_2007,45,Sant Martí de Tous
after_2007,46,Rialb
after_2007,47,Sau
after_2007,662,Estanys de Banyoles
after_2007,663,Estany de Basturs
after_2007,664,Estany de Montcortès
after_2007,41,N/D - Subterrània
after_2007,42,N/D - Superficial
after_2007,43,N/D
after_2007,1,Barranc de Salomó
after_2007,10,Riera de Pineda
after_2007,1089,El Fluvià des del riu Ser fins al mar
after_2007,1090,"Riu Daró des de Gualta fins al mar (Daró Vell), inclosos  la riera Grossa i el Torrent de la Revetlla"
after_2007,11,Capçaleres del sot de Verderes i la riera de Tossa fins a l'EDAR de Tossa de Mar
after_2007,12,Riera de Tossa des de l'EDAR de Tossa de Mar fins al mar
after_2007,13,Capçalera del Ridaura fins a l'EDAR de Castell-Platja d'Aro
after_2007,14,Riu Ridaura des de l'EDAR de Castell-Platja d'Aro fins al mar
after_2007,15,Capçalera de la riera de Calonge fins al límit del PEIN
after_2007,16,Riera de Calonge des del límit del PEIN fins al mar
after_2007,17,Riera d'Aubi
after_2007,18,Rec Sirvent
after_2007,19,Riera de Garriguella (Pedret) fins als aiguamolls de l'Empordà
after_2007,199,Barranc de l'Estany
after_2007,2,Conca de la riera de la Bisbal
after_2007,20,Rec Madral des de l'entrada als aiguamolls de l'Empordà fins al mar
after_2007,200,Barranc del Torrent del Pi
after_2007,201,Riu de Llastres i barranc de Santa Marina
after_2007,202,Riudecanyes des de la presa de Riudecanyes fins al mar
after_2007,203,Riera d'Alforja i riera de Riudecols
after_2007,204,Riera de Riudoms
after_2007,205,Riera de Boella i rasa del Mas de Sostres
after_2007,206,Riera de la Selva
after_2007,207,Barranc dels Garidells
after_2007,208,La Tordera des de l'EDAR de Sant Celoni fins a la confluència de la riera d'Arbúcies
after_2007,209,Tram baix de la riera d'Arbúcies
after_2007,21,Riera de Romanyac
after_2007,210,La Tordera entre la riera d'Arbúcies i la riera de Santa Coloma
after_2007,211,Capçalera de la riera de Santa Coloma fins a Santa Coloma de Faners
after_2007,212,Riera de Santa Coloma des de Santa Coloma fins a l'inici del tram inclòs a la Xarxa Natura 2000
after_2007,213,Riera de l'Esparra
after_2007,214,Sèquia de Sils
after_2007,215,El Reclar i riera de Pins
after_2007,216,Riera de Santa Coloma des de l'inici del tram inclòs a la Xarxa Natura 2000 fins a la Tordera
after_2007,217,Riera de Maçanes
after_2007,218,La Tordera des de la confluència de la riera de Santa Coloma fins a la confluència de la riera de Vallmanya
after_2007,219,La Tordera des de la confluència de la riera de Vallmanya fins al mar
after_2007,22,Riera de Valleta
after_2007,220,Capçalera del Daró fins a la confluència amb el torrent de la Marqueta (torrent de la Marqueta inclòs)
after_2007,221,El Daró entre el torrent de la Marqueta i el Rissec (tram urbà de la Bisbal)
after_2007,222,"Riu Daró des de la confluència del Rissec fins a Gualta, inclosos el Rissec i la riera de Rupià"
after_2007,223,"Riu Gurri entre la riera de Tona i la riera de Rimentol, inclosos la riera de Tona, la conca del Mèder i la riera de Rimentol"
after_2007,224,Riu Gurri des de la confluència de la riera de Rimentol fins al Ter (inclòs el torrent de Folgueroles)
after_2007,225,Torrent de Gàrrep
after_2007,226,Riu Güell
after_2007,227,Capçalera de l'Onyar fins a la confluència de la riera de Gotarra
after_2007,228,"Rieres de Gotarra, Verneda i Benaula"
after_2007,229,"Riu Onyar des de la confluència de la riera de Gotarra fins a l'entrada al nucli urbà de Girona, incloses les rieres de Bugantó i de Celrà"
after_2007,230,Riu Onyar a Girona
after_2007,231,Riu Revardit
after_2007,232,Riera de la Farga
after_2007,233,Riera de Sant Martí
after_2007,234,Riera de Cinyana
after_2007,235,Riera de Junyell
after_2007,236,Riera de Sant Jaume
after_2007,237,La Muga entre l'embassament de Boadella i el Llobregat de la Muga
after_2007,238,Riu Ricardell
after_2007,239,Llobregat de la Muga des del Ricardell fins a la Muga
after_2007,240,La Muga des de la confluència del Llobregat de la Muga fins al mar
after_2007,241,Riu Manol i riera d'Àlguema
after_2007,242,Riera de Figueres
after_2007,244,Riu Llobregós
after_2007,245,Riera de Llanera
