period,code,name
after_2007,25001,ABELLA DE LA CONCA
after_2007,8001,ABRERA
after_2007,25003,AGRAMUNT
after_2007,17001,AGULLANA
after_2007,8014,AIGUAFREDA
after_2007,43001,AIGUAMÚRCIA
after_2007,17002,AIGUAVIVA
after_2007,25038,AITONA
after_2007,25004,"ALAMÚS, ELS"
after_2007,25006,"ALBAGÉS, L'"
after_2007,17003,ALBANYÀ
after_2007,25007,ALBATÀRREC
after_2007,25008,ALBESA
after_2007,43002,ALBINYANA
after_2007,43003,"ALBIOL, L'"
after_2007,17004,ALBONS
after_2007,43004,ALCANAR
after_2007,25010,ALCANÓ
after_2007,25011,ALCARRÀS
after_2007,43005,ALCOVER
after_2007,43904,"ALDEA, L'"
after_2007,43006,ALDOVER
after_2007,43007,"ALEIXAR, L'"
after_2007,8003,ALELLA
after_2007,43008,ALFARA DE CARLES
after_2007,25013,ALFARRÀS
after_2007,43009,ALFORJA
after_2007,25015,ALGERRI
after_2007,25016,ALGUAIRE
after_2007,25017,ALINS
after_2007,43010,ALIÓ
after_2007,25019,ALMACELLES
after_2007,25020,ALMATRET
after_2007,25021,ALMENAR
after_2007,43011,ALMOSTER
after_2007,17006,ALP
after_2007,25023,ALPICAT
after_2007,25024,ALT ÀNEU
after_2007,43012,ALTAFULLA
after_2007,25005,ALÀS I CERC
after_2007,25022,ALÒS DE BALAGUER
after_2007,17007,AMER
after_2007,43013,"AMETLLA DE MAR, L'"
after_2007,8005,"AMETLLA DEL VALLÈS, L'"
after_2007,43906,"AMPOLLA, L'"
after_2007,43014,AMPOSTA
after_2007,25027,ANGLESOLA
after_2007,17008,ANGLÈS
after_2007,43015,ARBOLÍ
after_2007,43016,"ARBOÇ, L'"
after_2007,17009,ARBÚCIES
after_2007,8006,ARENYS DE MAR
after_2007,8007,ARENYS DE MUNT
after_2007,17010,ARGELAGUER
after_2007,8009,ARGENTONA
after_2007,8008,ARGENÇOLA
after_2007,17011,"ARMENTERA, L'"
after_2007,43018,ARNES
after_2007,25032,ARSÈGUEL
after_2007,25034,ARTESA DE SEGRE
after_2007,8010,ARTÉS
after_2007,43019,ASCÓ
after_2007,25037,AVELLANES I SANTA LINYA
after_2007,17012,AVINYONET DE PUIGVENTÓS
after_2007,8013,AVINYONET DEL PENEDÈS
after_2007,8012,AVINYÓ
after_2007,8011,AVIÀ
after_2007,8015,BADALONA
after_2007,8016,BAGÀ
after_2007,25039,BAIX PALLARS
after_2007,25040,BALAGUER
after_2007,22045,BALDELLOU
after_2007,8017,BALENYÀ
after_2007,8018,BALSARENY
after_2007,43020,BANYERES DEL PENEDÈS
after_2007,17015,BANYOLES
after_2007,25041,BARBENS
after_2007,43021,BARBERÀ DE LA CONCA
after_2007,8252,BARBERÀ DEL VALLÈS
after_2007,8019,BARCELONA
after_2007,25042,"BARONIA DE RIALB, LA"
after_2007,43022,BATEA
after_2007,8020,BEGUES
after_2007,17013,BEGUR
after_2007,25046,BELIANES
after_2007,25048,BELL-LLOC D'URGELL
after_2007,25170,BELLAGUARDA
after_2007,17018,BELLCAIRE D'EMPORDÀ
after_2007,25047,BELLCAIRE D'URGELL
after_2007,25049,BELLMUNT D'URGELL
after_2007,43023,BELLMUNT DEL PRIORAT
after_2007,8021,BELLPRAT
after_2007,25050,BELLPUIG
after_2007,43024,BELLVEI
after_2007,25051,BELLVER DE CERDANYA
after_2007,25052,BELLVÍS
after_2007,43025,BENIFALLET
