period,code,name
after_2007,0003,CONTROL ESTANYS I ZONES HUMIDES
after_2007,0004,CONTROL AIGÜES COSTANERES I BADIES
after_2007,0005,CONTROL AIGÜES SUBTERRÀNIES
after_2007,0002,CONTROL EMBASSAMENTS
after_2007,0001,CONTROL RIUS
after_2007,0006,CONTROL ZONES PROTEGIDES
before_2007,0005,CONTROL AIGÜES SUBTERRÀNIES
before_2007,0000,XARXES ANTERIORS 2007
before_2007,0004,CONTROL AIGÜES COSTANERES I BADIES
before_2007,0002,CONTROL EMBASSAMENTS
before_2007,0001,CONTROL RIUS
before_2007,0006,CONTROL ZONES PROTEGIDES
