period,code,name
after_2007,170,Sallente
after_2007,171,Cavallers
after_2007,172,Escales
after_2007,173,Gaià
after_2007,174,Santa Fe
after_2007,175,Riudecanyes
after_2007,176,Foix
after_2007,177,Vallforners
after_2007,178,Margalef
after_2007,179,Siurana
after_2007,180,Guiamets
after_2007,181,La Baells
after_2007,182,La Llosa del Cavall
after_2007,183,Sant Ponç
after_2007,184,Boadella
after_2007,185,Oliana
after_2007,186,Talarn
after_2007,187,Terradets
after_2007,188,Camarasa
after_2007,189,Sant Llorenç de Montgai
after_2007,190,Canelles
after_2007,191,Santa Anna
after_2007,192,Riba-roja
after_2007,193,Flix
after_2007,194,Susqueda
after_2007,195,El Pasteral
after_2007,44,Baserca
after_2007,45,Sant Martí de Tous
after_2007,46,Rialb
after_2007,47,Sau
after_2007,999999,N/D
before_2007,999999,N/D
