period,code,name
after_2007,020,RIERA DE RIUDECANYES
after_2007,030,RIERA D'ALFORJA
after_2007,045,RIERA DE BOELLA
after_2007,050,RIU FRANCOLÍ
after_2007,060,RIU GAIÀ
after_2007,070,RIERA DE LA BISBAL
after_2007,080,RIU FOIX
after_2007,100,RIU LLOBREGAT
after_2007,100010,RIU ARIJA
after_2007,100030,RIU MERDANÇOL
after_2007,100030010,RIERA DE MERLES
after_2007,100030020,RIERA DE RUBÍ
after_2007,100030020010,RIERA DE LES ARENES
after_2007,100040,RIERA DE SALDES
after_2007,100050,RIERA DE LA PORTELLA
after_2007,100060,RIERA DE PEGUERA
after_2007,100070,RIERA DE LA RIBA
after_2007,100110,RIERA DE MARLES
after_2007,100120,RIERA DE CLARÀ
after_2007,100130,RIERA DE GAIÀ
after_2007,100140,RIERA DE MEROLA
after_2007,100150,RIERA DE CORNET
after_2007,100170,RIERA GABARRESA
after_2007,100170020,RIERA LLUSANÈS
after_2007,100170040,RIERA RELAT
after_2007,100170050,RIERA OLO
after_2007,100170060,RIERA GAVARRESA
after_2007,100190,RIU CALDERS
after_2007,100190015,RIERA GOLARDA
after_2007,100210,RIERA DE MURA
after_2007,100220,RIU CARDENER
after_2007,100220010,RIERA AIGUA DE VALLS
after_2007,100220020,RIU NEGRE
after_2007,100220030,RIERA D'AIGUADORA
after_2007,100220050,RIERA DE NAVEL
after_2007,100220100,RIERA DE RAJADELL
after_2007,100230,RIERA DE SANTA CRUZ
after_2007,100240,RIERA DE MARGANELL
after_2007,100250,RIERA DE RELLINARS
after_2007,100275,RIERA MAGAROLA
after_2007,100280,RIU ANOIA
after_2007,100280080,RIERA DE CARME
after_2007,100280100,RIU RIUDEVITLLES-RIERA DE MEDI
after_2007,100280100010,RIERA DE RIUDEBITLLES
after_2007,100280115,RIERA RUBIO
after_2007,100280190,RIU LAVERNÓ
after_2007,100320,RIERA DE CERVELLÓ -VALLIRANA-
after_2007,100320050,RRA. RAFAMANS O DE LA PALMA
after_2007,100340,RIERA DE TORRELLES
after_2007,100350,RIU D'OR
after_2007,100630,RIERA DE VALLVIDRERA
after_2007,110,RIU BESÓS
after_2007,110010020,RIERA DE CANOVES
after_2007,110020,RIU CONGOST
after_2007,110020010,RIERA D'AVENCÓ
after_2007,110040,RIU TENES
after_2007,110060,RIERA DE CALDES
after_2007,110060060,RIERA SENTMENAT
after_2007,110070,RIU MOGENT
after_2007,110080,RIERA SECA
after_2007,110100,RIU RIPOLL
after_2007,110100020,RIU SEC
after_2007,110100040,RIERA DE SANT CUGAT
after_2007,111,RIERA DE LA SELVA/B. BURGUETE
after_2007,113,RIERA DE BEGUES
after_2007,120,RIERA D'ARGENTONA
after_2007,125,RIERA ARENYS
after_2007,127,RIU D'ONDARA
after_2007,130,RIERA DE SANT POL
after_2007,140,RIU TORDERA
after_2007,140050,RIERA DE GUALBA
after_2007,140070,RIERA DE BREDA
after_2007,140090,RIERA D'ARBÚCIES
after_2007,140090050,RIERA PINEDA
after_2007,140110,RIERA DE SANTA COLOMA
after_2007,140110007,RIERA ESPARRA
after_2007,140110010,RIERA DE SILS
after_2007,140110113,RIERA MAJOR
after_2007,140120,RIERA FUIROSOS
after_2007,150,RIERA DE TOSSA
after_2007,160,RIU RIDAURA
after_2007,170,RIERA DE CALONGE
after_2007,180,RIERA D'AUBÍ
after_2007,190,RIU DARO
after_2007,195,REC DEL MOLÍ
after_2007,200,RIU TER
after_2007,200070,RIERA DE VALLFOGONA
after_2007,200075,RIERA FORADADA
after_2007,200080,RIU FRESER
after_2007,200090,RIU GES
after_2007,200100,RIERA DE LES LLOSES
after_2007,200110,RIERA DE SANT MARTÍ
after_2007,200115,RIERA DE LES GORGUES
after_2007,200120,RIERA DE SORA
after_2007,200130,RIERA DE RUPIT
