period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
after_2007,0006,0012,BDH,Capçalera de la riera de Caldes fins a l'EDAR de Caldes de Montbui - 110019000,429594,4610324,4160795,Suma de xilens
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466182,Alumini
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466183,Amoni
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466184,Antimoni
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466185,Arsènic
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466186,Bari
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466187,Beril·li
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466188,Bicarbonats
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466189,Bor
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466190,Cadmi
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466191,Calci
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466192,Clorurs
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466193,Cobalt
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466194,Conductivitat (camp)
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466195,Conductivitat a 20ºC
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466196,Coure
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466197,Crom
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466198,Duresa total
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466199,Error relatiu balanç Iònic
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466200,Estronci
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466201,Ferro
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466202,Fluorurs
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466203,Magnesi
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466204,Manganès
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466205,Molibdè
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466206,Níquel
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466207,Nitrats
after_2007,0006,0012,E107020,Flix - E107020,288685,4569248,4466208,Nitrits
