period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000025,Cubeta d'Abrera - 08001-0015,409277,4598220,F000025NPM,Nivell piezomètric
before_2007,0005,0011,F000026,Cubeta d'Abrera - 08001-0044,409247,4598377,F000026NPM,Nivell piezomètric
before_2007,0005,0011,F000028,Cubeta d'Abrera - 08147-0045,408844,4598726,F000028NPM,Nivell piezomètric
before_2007,0005,0011,F000029,Cubeta d'Abrera - 08001-0039,409587.35,4595217.23,1701988,Nivell piezomètric
before_2007,0005,0011,F000029,Cubeta d'Abrera - 08001-0039,409587.35,4595217.23,F000029NPM,08001-0039_Abrera_AB2_Nivell piezometric_Manual
before_2007,0005,0011,F000030,Cubeta d'Abrera - 08001-0041,409347.25,4598113.52,F000030NPM,Nivell piezomètric
before_2007,0005,0011,F000031,Detrític neogen del Penedès - 08114-0035,410311.93,4591926.42,F000031NPM,Nivell piezomètric
before_2007,0005,0011,F000032,Cubeta d'Abrera - 08054-0074,410166.34,4593607.52,F000032NPA,08054-0074_Castellbisbal_AB1_Nivell piezometric_Manual
before_2007,0005,0011,F000037,Cubeta de Sant Andreu - 08054-0072,413747.53,4591299.79,F000037NPA,Nivell piezomètric (F000037NPA)
before_2007,0005,0011,F000038,Cubeta de Sant Andreu - 08054-0073,413270.73,4591879.8,F000038NPM,Nivell piezomètric
before_2007,0005,0011,F000040,Vall baixa i Delta del Llobregat - 08157-0011,417039.59,4585351.76,F000040NPA,P_Palleja_Nivell piezometric (limnígraf)_REV0
before_2007,0005,0011,F000040,Vall baixa i Delta del Llobregat - 08157-0011,417039.59,4585351.76,F000040NPM,Nivell piezomètric (F000040NPM)
before_2007,0005,0011,F000042,Vall baixa i Delta del Llobregat - 08244-0009,419132.25,4579978.94,F000042NPM,Nivell piezomètric
before_2007,0005,0011,F000047,Vall baixa i Delta del Llobregat - 08211-0036,419443.88,4583108.74,F000047NPM,Nivell piezomètric
before_2007,0005,0011,F000048,Vall baixa i Delta del Llobregat - 08158-0012,416172.81,4588365.27,F000048NPA,Nivell piezomètric (F000048NPA)
before_2007,0005,0011,F000048,Vall baixa i Delta del Llobregat - 08158-0012,416172.81,4588365.27,F000048NPM,Nivell piezomètric (F000048NPM)
before_2007,0005,0011,F000049,Vall baixa i Delta del Llobregat - 08217-0018,420194,4580672,F000049NPA,Nivell piezomètric (F000049NPA)
before_2007,0005,0011,F000049,Vall baixa i Delta del Llobregat - 08217-0018,420194,4580672,F000049NPM,Nivell piezomètric (F000049NPM)
before_2007,0005,0011,F000050,Vall baixa i Delta del Llobregat - 08211-0007,419171,4581653,F000050NPM,Nivell piezomètric
before_2007,0005,0011,F000052,Vall baixa i Delta del Llobregat - 08211-0011,418551,4582074,F000052NPM,Nivell piezomètric
before_2007,0005,0011,F000057,Vall baixa i Delta del Llobregat - 08217-0017,419844,4580475,F000057NPM,Nivell piezomètric
