period,network,station,name,x,y
after_2007,0003,F009980,Estanys de Banyoles - 045040100,480010,4663228
after_2007,0003,F016182,Pantà de l'Arrós - H230002000,290392,4613323
after_2007,0003,F016183,Utxesa - H230003001,293081,4598472
after_2007,0003,F016184,Utxesa - H230003000,293266,4595237
after_2007,0003,F016185,Ullals de la Carrova - H240002000,293606,4513276
after_2007,0003,F016189,Delta de l'Ebre-Erms de Casablanca o Vilacoto - H240014000,298715,4501535
after_2007,0003,F016190,Delta de l'Ebre-Ullals de l'Arispe i Baltasar - H240015001,296797,4505049
after_2007,0003,F016191,Delta de l'Ebre-L'Encanyissada - H240013000,300447,4501819
after_2007,0003,F016193,Delta de l'Ebre-Punta de la Banya - H240011000,303369,4495914
after_2007,0003,F016194,Delta de l'Ebre-El Clot - H240012000,304379,4503557
after_2007,0003,F016195,Delta de l'Ebre-les Olles - H240003000,306597,4517564
after_2007,0003,F016196,Delta de l'Ebre-La Tancada - H240010000,307262,4502581
after_2007,0003,F016198,Delta de l'Ebre-Riet Vell - H240009000,311999,4503634
after_2007,0003,F016199,Herbassars de Castelldans - H230006000,311954,4596217
after_2007,0003,F016200,Desembocadura del torrent de Santes Creus - H194403000,312970,4525877
after_2007,0003,F016201,Delta de l'Ebre-El Canal Vell - H240004000,313236,4512726
after_2007,0003,F016202,Delta de l'Ebre-La Platjola - H240008000,313275,4503560
after_2007,0003,F016204,Desembocadura del torrent de l'Estany - H194402000,313826,4526816
after_2007,0003,F016205,Desembocadura del torrent del Pi - H194401000,316541,4529943
after_2007,0003,F016206,Delta de l'Ebre-L'Alfacada - H240007000,316900,4505233
after_2007,0003,F016207,Delta de l'Ebre-El Garxal - H240005000,318953,4510222
after_2007,0003,F016208,Delta de l'Ebre-Illa de Buda - H240006001,319432,4509121
after_2007,0003,F016209,Delta de l'Ebre-Illa de Buda - H240006000,319574,4507523
after_2007,0003,F016210,Desembocadura del riu Llastres - H191301000,325987,4539942
after_2007,0003,F016212,Estany d'Ivars i Vila-sana - H230005000,329168,4616525
after_2007,0003,F016213,Sèquia Major - H190001000,346879,4549250
after_2007,0003,F016214,Basses de Sió - H230004000,350306,4621862
after_2007,0003,F016215,Desembocadura del riu Gaià - H101501000,362829,4554900
after_2007,0003,F016216,Platja de Torredembarra - H183301000,368784,4557163
after_2007,0003,F016217,Delta del Llobregat-Estany de la Murtra - H180002000,419713,4569594
after_2007,0003,F016218,Delta del Llobregat-El Remolar-Filipines-Pas Vaques - H178906001,421246,4570763
after_2007,0003,F016219,Delta del Llobregat-Riera de Sant Climent - H180001000,421436,4570049
after_2007,0003,F016220,Delta del Llobregat-El Remolar-Filipines-Pas Vaques - H178906000,422266,4570283
after_2007,0003,F016221,Delta del Llobregat-La Roberta - H178905000,423345,4570476
after_2007,0003,F016222,Delta del Llobregat-Estany de la Ricarda - H178904000,425762,4571603
after_2007,0003,F016223,Delta del Llobregat - La Magarola - H178903000,426154,4571705
after_2007,0003,F016224,Delta de Llobregat-Cal Tet - H178902000,426562,4572694
after_2007,0003,F016225,Delta de Llobregat-Ca l'Arana - H178901000,427070,4572706
after_2007,0003,F016226,Basses d'en Broc i Aiguamoixos de la Déu Vella - H104005000,457684,4668278
after_2007,0003,F016227,Basses de Can Jordà - H104006000,459280,4665966
