id,period,network,network_name,subnetwork,subnetwork_name,category,groups,families,branch_count,station_count,series_count,has_rivers,has_basins,has_comarcas,has_municipis,has_aquifers,has_masses,has_reservoirs
after_2007:0001:0001,after_2007,0001,CONTROL RIUS,0001,Elements biològics,biological,Índexs biològics,Fitobentos|Fitoplàncton|Invertebrats|Macròfits|Peixos,5,408,1391,True,True,True,True,True,True,True
after_2007:0001:0002,after_2007,0001,CONTROL RIUS,0002,Substàncies prioritàries i preferents,priority substances; metals,Metalls|Microcontaminants orgànics,Clorofenols|Dioxans|Dissolvents industrials|General orgànics|Hidrocarburs aromàtics policíclics|Metalls|Nonilfenols i Octilfenol|Organohalogenats volàtils|PCB|Plaguicides|Plaguicides organoclorats|Plaguicides organofosforats|Polibromatdifenilèters|Triazines,221,384,56160,True,True,True,True,True,True,True
after_2007:0001:0021,after_2007,0001,CONTROL RIUS,0021,Elements hidromorfològics,hydromorphological,Índexs hidromorfològics,Morfologia,1,366,1854,True,True,True,True,True,True,True
after_2007:0001:0022,after_2007,0001,CONTROL RIUS,0022,Elements fisicoquímics,physical-chemical,Fisicoquímics,Condicions d'oxigenació|Generals|Nutrients|Salinitat,37,446,10981,True,True,True,True,True,True,True
after_2007:0001:0301,after_2007,0001,CONTROL RIUS,0301,Cabals,quantity,Quantitat,Quantitat,2,99,103,True,True,True,True,True,True,True
after_2007:0001:0303,after_2007,0001,CONTROL RIUS,0303,Nivells,quantity,Quantitat,Quantitat,2,91,92,True,True,True,True,True,True,True
after_2007:0002:0003,after_2007,0002,CONTROL EMBASSAMENTS,0003,Elements biològics,biological,Índexs biològics,Fitoplàncton,2,30,56,True,True,True,True,True,True,True
after_2007:0002:0004,after_2007,0002,CONTROL EMBASSAMENTS,0004,Substàncies prioritàries i preferents,priority substances; metals,Metalls|Microcontaminants orgànics,Clorofenols|Dissolvents industrials|Hidrocarburs aromàtics policíclics|Metalls|Nonilfenols i Octilfenol|Organohalogenats volàtils|Plaguicides|Plaguicides organoclorats|Plaguicides organofosforats|Polibromatdifenilèters|Triazines,152,13,1640,True,True,True,True,True,True,True
after_2007:0002:0023,after_2007,0002,CONTROL EMBASSAMENTS,0023,Elements fisicoquímics,physical-chemical,Fisicoquímics,Condicions d'oxigenació|Generals|Nutrients|Salinitat,31,30,555,True,True,True,True,True,True,True
after_2007:0002:0302,after_2007,0002,CONTROL EMBASSAMENTS,0302,Volums,quantity,Quantitat,Quantitat,3,13,36,True,True,True,True,True,True,True
after_2007:0003:0005,after_2007,0003,CONTROL ESTANYS I ZONES HUMIDES,0005,Elements biològics,biological,Índexs biològics,Fitoplàncton|Invertebrats|Macròfits,13,81,503,True,True,True,True,True,True,True
after_2007:0003:0006,after_2007,0003,CONTROL ESTANYS I ZONES HUMIDES,0006,Substàncies prioritàries i preferents,priority substances; metals,Metalls|Microcontaminants orgànics,Dissolvents industrials|Hidrocarburs aromàtics policíclics|Metalls|Nonilfenols i Octilfenol|Organohalogenats volàtils|Plaguicides|Plaguicides organoclorats|Plaguicides organofosforats|Polibromatdifenilèters|Triazines,131,56,6849,True,True,True,True,True,True,True
after_2007:0003:0024,after_2007,0003,CONTROL ESTANYS I ZONES HUMIDES,0024,Elements hidromorfològics,hydromorphological,Índexs hidromorfològics,Morfologia,1,78,78,True,True,True,True,True,True,True
after_2007:0003:0025,after_2007,0003,CONTROL ESTANYS I ZONES HUMIDES,0025,Elements fisicoquímics,physical-chemical,Fisicoquímics,Condicions d'oxigenació|Generals|Nutrients|Salinitat,31,82,1445,True,True,True,True,True,True,True
after_2007:0004:0007,after_2007,0004,CONTROL AIGÜES COSTANERES I BADIES,0007,Elements biològics,biological,Índexs biològics,Fanerògames marines|Fitoplàncton|Macroalgues|Macrofauna,5,336,345,True,True,True,True,True,True,True
after_2007:0004:0008,after_2007,0004,CONTROL AIGÜES COSTANERES I BADIES,0008,Elements fisicoquímics - condicions generals,physical-chemical,Fisicoquímics,Condicions d'oxigenació|Generals|Nutrients|Salinitat,21,174,2481,True,True,True,True,True,True,True
after_2007:0004:0009,after_2007,0004,CONTROL AIGÜES COSTANERES I BADIES,0009,Substàncies prioritàries i preferents,priority substances; metals,Metalls|Microcontaminants orgànics,Clorofenols|Cloroparafines|Dioxines|Dissolvents industrials|General orgànics|Hidrocarburs aromàtics policíclics|Metalls|Nonilfenols i Octilfenol|Organohalogenats volàtils|PCB|Plaguicides|Plaguicides organoclorats|Plaguicides organofosforats|Polibromatdifenilèters|Retardant de flama|Surfactant|Triazines,224,269,24880,True,True,True,True,True,True,True
after_2007:0005:0010,after_2007,0005,CONTROL AIGÜES SUBTERRÀNIES,0010,Elements fisicoquímics,priority substances; metals; physical-chemical,Fisicoquímics|Metalls|Microcontaminants orgànics,Condicions d'oxigenació|Generals|Metalls|Nutrients|Plaguicides|Plaguicides organoclorats|Plaguicides organofosforats|Salinitat|Triazines,115,1532,79587,True,True,True,True,True,True,True
after_2007:0005:0011,after_2007,0005,CONTROL AIGÜES SUBTERRÀNIES,0011,Nivells piezomètrics,groundwater levels,Piezometria,Piezometria,1,621,713,True,True,True,True,True,True,True
after_2007:0006:0012,after_2007,0006,CONTROL ZONES PROTEGIDES,0012,Zones destinades a abastament urbà,biological; priority substances; metals; physical-chemical,Fisicoquímics|Metalls|Microcontaminants orgànics|Índexs biològics,Condicions d'oxigenació|Dissolvents industrials|Fitobentos|Fitoplàncton|General orgànics|Generals|Hidrocarburs aromàtics policíclics|Invertebrats|Metalls|Nutrients|Organohalogenats volàtils|Plaguicides organoclorats|Plaguicides organofosforats|Salinitat|Triazines,246,577,38849,True,True,True,True,True,True,True
after_2007:0006:0013,after_2007,0006,CONTROL ZONES PROTEGIDES,0013,Reserves naturals fluvials,biological; hydromorphological; priority substances; metals; physical-chemical,Fisicoquímics|Metalls|Microcontaminants orgànics|Índexs biològics|Índexs hidromorfològics,Clorofenols|Condicions d'oxigenació|Dissolvents industrials|Fitobentos|Generals|Hidrocarburs aromàtics policíclics|Invertebrats|Metalls|Morfologia|Nutrients|Organohalogenats volàtils|Plaguicides organoclorats|Plaguicides organofosforats|Polibromatdifenilèters|Salinitat|Triazines,149,41,1007,True,True,True,True,True,True,True
after_2007:0006:0014,after_2007,0006,CONTROL ZONES PROTEGIDES,0014,Zones vulnerables (nitrat origen agrari),physical-chemical,Fisicoquímics,Nutrients,7,1640,6643,True,True,True,True,True,True,True
after_2007:0006:0016,after_2007,0006,CONTROL ZONES PROTEGIDES,0016,Zones sensibles eutrofització abocaments urbans,physical-chemical,Fisicoquímics,Condicions d'oxigenació|Nutrients,10,165,1224,True,True,True,True,True,True,True
