period,network,subnetwork,g,g_name,f,f_name,v,v_name
after_2007,0003,0006,8,Metalls,080001,Metalls,2390,Alumini
after_2007,0003,0006,8,Metalls,080001,Metalls,2391,Antimoni
after_2007,0003,0006,8,Metalls,080001,Metalls,2392,Arsènic
after_2007,0003,0006,8,Metalls,080001,Metalls,2393,Bari
after_2007,0003,0006,8,Metalls,080001,Metalls,2394,Beril·li
after_2007,0003,0006,8,Metalls,080001,Metalls,2395,Bor
after_2007,0003,0006,8,Metalls,080001,Metalls,2396,Cadmi
after_2007,0003,0006,8,Metalls,080001,Metalls,2397,Cobalt
after_2007,0003,0006,8,Metalls,080001,Metalls,2398,Coure
after_2007,0003,0006,8,Metalls,080001,Metalls,2399,Crom
after_2007,0003,0006,8,Metalls,080001,Metalls,2400,Estronci
after_2007,0003,0006,8,Metalls,080001,Metalls,2401,Ferro
after_2007,0003,0006,8,Metalls,080001,Metalls,2402,Manganès
after_2007,0003,0006,8,Metalls,080001,Metalls,2409,Mercuri
after_2007,0003,0006,8,Metalls,080001,Metalls,2403,Molibdè
after_2007,0003,0006,8,Metalls,080001,Metalls,2404,Níquel
after_2007,0003,0006,8,Metalls,080001,Metalls,2405,Plom
after_2007,0003,0006,8,Metalls,080001,Metalls,2406,Seleni
after_2007,0003,0006,8,Metalls,080001,Metalls,2407,Vanadi
after_2007,0003,0006,8,Metalls,080001,Metalls,2408,Zinc
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0076,Benzè
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0056,Clorobenzè
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0196,Etilbenzè
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0255,Naftalè
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0220,Suma de xilens
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0312,Toluè
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0137,"m,p-Xilè"
after_2007,0003,0006,11,Microcontaminants orgànics,110004,Dissolvents industrials,0159,o-Xilè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0186,Antracè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0074,Benzo(a)pirè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0218,Benzo(b)fluorantè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0252,Benzo(ghi)perilè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0205,Benzo(k)fluorantè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0169,Fluorantè
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,0075,"Indeno(1,2,3-cd)pirè"
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,1513,Suma de PAH1
after_2007,0003,0006,11,Microcontaminants orgànics,110006,Hidrocarburs aromàtics policíclics,1514,Suma de PAH2
after_2007,0003,0006,11,Microcontaminants orgànics,110007,Nonilfenols i Octilfenol,2434,4-n-Nonilfenol
after_2007,0003,0006,11,Microcontaminants orgànics,110007,Nonilfenols i Octilfenol,0309,NPEO(e=0)
after_2007,0003,0006,11,Microcontaminants orgànics,110007,Nonilfenols i Octilfenol,0176,tert-Octilfenol
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0300,"1,1,1-Tricloroetà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0156,"1,1,2,2-Tetracloroetà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0061,"1,1,2-Tricloroetà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0250,"1,1-Dicloroetilè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0142,"1,1-Dicloroetà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0194,"1,2,3-Triclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0164,"1,2,4-Triclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0234,"1,2-Diclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0162,"1,2-Dicloroetà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0313,"1,2-Dicloropropà"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0060,"1,3,5-Triclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0173,"1,3-Diclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0192,"1,4-Diclorobenzè"
after_2007,0003,0006,11,Microcontaminants orgànics,110008,Organohalogenats volàtils,0221,Bromodiclorometà
